 
                                                                                                                                                                                                                                                                
 
   caldt        vwretd        sprtrn      spindx
19260820     -0.001691       .               .  
19260821      0.003627       .               .  
19260823      0.006257       .               .  
19260824     -0.009515       .               .  
19260825     -0.003327       .               .  
19260826      0.006277       .               .  
19260827      0.003533       .               .  
19260828      0.003397       .               .  
19260830      0.002494       .               .  
19260831      0.008127       .               .  
19260901      0.004860       .               .  
19260902      0.000077       .               .  
19260903      0.007763       .               .  
19260907      0.007463       .               .  
19260908     -0.006194       .               .  
19260909      0.000578       .               .  
19260910     -0.010110       .               .  
19260911     -0.005067       .               .  
19260913      0.000782       .               .  
19260914      0.011041       .               .  
19260915     -0.002918       .               .  
19260916     -0.000885       .               .  
19260917     -0.009284       .               .  
19260918      0.008449       .               .  
19260920     -0.005899       .               .  
19260921      0.004003       .               .  
19260922     -0.002042       .               .  
19260923      0.002617       .               .  
19260924      0.007508       .               .  
19260925      0.002409       .               .  
19260927     -0.001923       .               .  
19260928     -0.000015       .               .  
19260929     -0.003615       .               .  
19260930      0.004460       .               .  
19261001      0.008863       .               .  
19261002     -0.000974       .               .  
19261004     -0.015321       .               .  
19261005     -0.011636       .               .  
19261006     -0.004755       .               .  
19261007     -0.009997       .               .  
19261008      0.006137       .               .  
19261009     -0.010681       .               .  
19261011     -0.007048       .               .  
19261013      0.009222       .               .  
19261014      0.009533       .               .  
19261015     -0.019495       .               .  
19261016     -0.007620       .               .  
19261018      0.008787       .               .  
19261019     -0.012061       .               .  
19261020      0.000422       .               .  
19261021      0.017210       .               .  
19261022     -0.005123       .               .  
19261023      0.004855       .               .  
19261025     -0.000297       .               .  
19261026      0.002688       .               .  
19261027      0.012247       .               .  
19261028     -0.001960       .               .  
19261029     -0.000714       .               .  
19261030     -0.002630       .               .  
19261101      0.005396       .               .  
19261103      0.002668       .               .  
19261104      0.007209       .               .  
19261105     -0.000305       .               .  
19261106      0.001715       .               .  
19261108      0.006382       .               .  
19261109     -0.000064       .               .  
19261110     -0.007294       .               .  
19261111      0.007018       .               .  
19261112      0.002837       .               .  
19261113     -0.003800       .               .  
19261115      0.004012       .               .  
19261116      0.002936       .               .  
19261117     -0.003963       .               .  
19261118     -0.005428       .               .  
19261119     -0.007979       .               .  
19261120      0.003662       .               .  
19261122      0.005843       .               .  
19261123      0.004405       .               .  
19261124      0.000397       .               .  
19261126      0.003156       .               .  
19261127     -0.001429       .               .  
19261129     -0.003417       .               .  
19261130      0.003114       .               .  
19261201      0.002556       .               .  
19261202      0.004838       .               .  
19261203      0.002793       .               .  
19261204     -0.001293       .               .  
19261206      0.000897       .               .  
19261207     -0.001264       .               .  
19261208     -0.001366       .               .  
19261209      0.004796       .               .  
19261210      0.004124       .               .  
19261211      0.000898       .               .  
19261213      0.003377       .               .  
19261214      0.001213       .               .  
19261215      0.002131       .               .  
19261216     -0.005850       .               .  
19261217      0.010797       .               .  
19261218      0.004671       .               .  
19261220     -0.002059       .               .  
19261221     -0.000195       .               .  
19261222     -0.000282       .               .  
19261223      0.003182       .               .  
19261224      0.002512       .               .  
19261227     -0.002874       .               .  
19261228     -0.011453       .               .  
19261229      0.004787       .               .  
19261230     -0.004444       .               .  
19261231      0.003358       .               .  
19270103     -0.008618       .               .  
19270104      0.003065       .               .  
19270105      0.000353       .               .  
19270106     -0.002886       .               .  
19270107      0.004159       .               .  
19270108      0.002361       .               .  
19270110      0.001839       .               .  
19270111     -0.002884       .               .  
19270112      0.001962       .               .  
19270113     -0.000270       .               .  
19270114      0.000657       .               .  
19270115      0.001562       .               .  
19270117     -0.000974       .               .  
19270118     -0.000542       .               .  
19270119      0.006041       .               .  
19270120     -0.000893       .               .  
19270121     -0.001481       .               .  
19270122     -0.003790       .               .  
19270124     -0.005008       .               .  
19270125     -0.011375       .               .  
19270126      0.001747       .               .  
19270127     -0.003850       .               .  
19270128      0.001863       .               .  
19270129      0.008495       .               .  
19270131      0.006255       .               .  
19270201     -0.001505       .               .  
19270202      0.009638       .               .  
19270203      0.001654       .               .  
19270204      0.002386       .               .  
19270205     -0.002766       .               .  
19270207     -0.001030       .               .  
19270208      0.000072       .               .  
19270209      0.000556       .               .  
19270210      0.001447       .               .  
19270211      0.004792       .               .  
19270214      0.004225       .               .  
19270215      0.001063       .               .  
19270216      0.000026       .               .  
19270217      0.004635       .               .  
19270218      0.003452       .               .  
19270219      0.000421       .               .  
19270221     -0.002045       .               .  
19270223      0.008068       .               .  
19270224      0.000424       .               .  
19270225      0.002429       .               .  
19270226      0.000453       .               .  
19270228      0.006420       .               .  
19270301     -0.002925       .               .  
19270302     -0.013155       .               .  
19270303      0.012300       .               .  
19270304     -0.006260       .               .  
19270305     -0.002547       .               .  
19270307     -0.003554       .               .  
19270308      0.001780       .               .  
19270309      0.005730       .               .  
19270310      0.005052       .               .  
19270311      0.002229       .               .  
19270312     -0.000675       .               .  
19270314      0.002368       .               .  
19270315     -0.007267       .               .  
19270316      0.008579       .               .  
19270317      0.004690       .               .  
19270318     -0.007122       .               .  
19270319      0.000369       .               .  
19270321      0.002960       .               .  
19270322     -0.010411       .               .  
19270323      0.003246       .               .  
19270324      0.006173       .               .  
19270325      0.000725       .               .  
19270326      0.002515       .               .  
19270328      0.005940       .               .  
19270329     -0.001966       .               .  
19270330     -0.004723       .               .  
19270331      0.003726       .               .  
19270401      0.000410       .               .  
19270402     -0.001461       .               .  
19270404      0.006415       .               .  
